Fahrenheit    Celcius    Celcius (approximation)    Error
0.00          -17.78          -15.00              2.78
10.00          -12.22          -10.00              2.22
20.00          -6.67          -5.00              1.67
30.00          -1.11          0.00              1.11
40.00          4.44          5.00              0.56
50.00          10.00          10.00              0.00
60.00          15.56          15.00              -0.56
70.00          21.11          20.00              -1.11
80.00          26.67          25.00              -1.67
90.00          32.22          30.00              -2.22
100.00          37.78          35.00              -2.78
